target,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10
0,-4.29360903608704,-0.719858688233229,-0.647830509061014,-0.51929325953008,-1.51595073486396,-0.605681046287061,-0.579089346029226,-0.814044576653981,-0.141533882595773,-0.530656477508887
0,-0.328529195758772,-0.726717124683355,-1.03161238404164,-0.447012882469448,-2.23867961135386,-2.12386693001139,-1.82393119713494,-0.784384408872545,-0.123933031770714,-0.781689686530236
1,-0.455911539268302,-0.0636233303307912,-0.654120844430916,-0.315188789241291,-0.045061301805627,-1.27623262240211,-2.20868797680084,-0.0191328738859024,-0.371208162847734,-0.251949007945907
0,-0.223470318347277,-3.51866159548137,-1.52826111249894,-0.0762555826687239,-0.101200445222123,-0.254681824303005,-0.039526271137426,-0.368726464509771,-0.322133835402397,-0.088808913637616
0,-0.382921156422468,-0.986829475343431,-2.2310991097648,-0.218081962667402,-1.65021369504103,-0.865714980231491,-0.229436907318032,-0.817386744166737,-0.136765395390403,-1.38823235776572
1,-0.374438973266539,-0.215137460074461,-0.750189377789199,-0.44849558264343,-0.339358130859046,-0.533013876763317,-0.189819292845537,-0.844620985021752,-0.513484215470356,-1.0755529510594
0,-0.468275461047176,-0.319589642038247,-2.0144450699495,-1.19726200701279,-4.55924997908559,-2.87389914509954,-0.482811572769617,-1.59178124327797,-0.38410575254975,-0.344429069496177
0,-2.24416084010517,-4.21429029000798,-0.925862846396649,-1.30107650680955,-1.1877254591122,-0.392591676784902,-0.955787218925043,-1.04555518416438,-1.40910892032282,-0.368442031515706
1,-0.585760475180599,-2.03612009011559,-0.231462825770987,-0.420082033092305,-0.419060011275564,-0.637514757817017,-0.844889485369629,-1.86170261764612,-2.03863204877255,-0.746863801493483
0,-0.409792893846344,-1.63730801044828,-1.74432148448466,-0.198985093033502,-1.0901257852803,-0.71853375010103,-0.11153402636566,-0.960196100807921,-0.108232378740742,-0.756601721233725
0,-0.400645273629687,-0.452797994714922,-0.908992990198814,-0.353833992445885,-0.0699253789323686,-0.294233352438924,-0.46496456691989,-0.957743940168421,-0.306334524141112,-0.834145545222698
1,-2.60672969592873,-0.251246598771917,-0.463828092795525,-0.907135327878065,-0.848531969433586,-1.2064868778583,-0.474096286971625,-2.70723514289657,-1.13405284798527,-1.07061196648398
1,-0.0896442751252134,-0.236681403229656,-0.0974868862793723,-0.0675823625495985,-0.206151246520117,-0.830723611935606,-0.0262160711243035,-0.177670317495902,-0.0245159451646367,-0.0808480094397743
0,-1.39335772440003,-1.0012028899756,-0.537955667510616,-0.416201878709299,-0.681128109808633,-0.28332080008617,-0.642636648773384,-0.0765820219287119,-0.169334573721398,-0.106526105826169
0,-0.453173007083765,-1.40362213634835,-0.413426310018062,-0.864606522562998,-1.36940624910715,-1.2901723599688,-0.690381621579193,-2.29407845212426,-0.124864146639234,-0.512769831232959
0,-0.174369044228054,-1.09619367037888,-2.44795836394559,-0.4703628431843,-0.69507351300124,-0.742144555976409,-0.266324509032199,-4.72245834075993,-1.63525203164492,-1.37538743011889
1,-0.00192323900542352,-0.173931756134602,-2.90587241799094,-0.0796287312981132,-0.267384575034454,-1.36427606519536,-0.237429053464226,-0.0599009688190834,-0.753561353942295,-1.60831546572095
1,-0.236952824449748,-0.395344889900399,-0.0217341301737044,-0.308425248602699,-0.33540623466618,-0.0207572679392511,-1.95196963792467,-0.998470161097321,-0.355149456576495,-0.0847390355912319
0,-2.28290097955687,-0.481045213174332,-3.15231380248959,-0.928493779616574,-0.262185206405468,-0.0169554545237408,-2.51493626765684,-1.10535826105506,-1.14539068432807,-0.246384684531798
1,-1.75581915510585,-0.343150419911571,-0.167286008760575,-0.301642901483042,-0.76177820199817,-1.55905778252207,-0.214391698864798,-0.000571406089520441,-1.58203447728141,-1.06551711473032
0,-1.69433528988677,-1.73895579488573,-0.510902173866282,-2.68964943144215,-2.44251202817508,-4.75461055800821,-0.253184120640282,-1.33580957614171,-0.108271036436017,-0.224506043110928
0,-0.946683582198497,-1.08337971995425,-2.69618192949306,-0.167191237240636,-0.47730850846315,-1.17393702660961,-0.422013034020794,-1.51198869417303,-0.00529932803639732,-0.53786536610113
1,-1.32647859400072,-2.36345904817434,-0.0983800106609585,-0.749370022747019,-3.3098278831386,-2.05604265355454,-2.29665822746195,-3.02099279365919,-2.81192431265746,-0.382163900899502
0,-1.71485240713531,-1.71740846453695,-2.0494868046878,-0.0489964195625165,-1.07870815899241,-0.111457812911398,-1.46006771865141,-1.32639563358418,-1.5888958798694,-1.26887629025103
0,-0.148446462029321,-2.67269192966507,-1.35720502935813,-0.251512898265011,-1.44105044388813,-0.516076559073228,-0.489910962055146,-0.0696793643693752,-1.27735306899488,-0.666532492543182
1,-1.28707018292733,-0.317440311637099,-1.2502013555856,-0.51787490899733,-0.0474807236292738,-2.45339260276208,-3.07175549558465,-1.69071793421407,-2.00227178236825,-1.15720708011547
0,-0.550485409790479,-1.30859521451231,-1.91411438560113,-1.70434319518504,-0.857886885614514,-1.23597611972357,-0.372093099760371,-2.35422465742081,-0.478907394065328,-0.190467676236241
1,-0.578138700630037,-0.0122699745525716,-0.937955468837012,-0.802467862738543,-0.495873559627576,-1.13144332975455,-0.348534287562141,-2.19730320161386,-1.24658461777861,-1.84148658461173
0,-0.389245661556083,-1.41488927746342,-0.43074692544604,-0.0148888762055761,-0.757424587424117,-1.42715244942091,-2.76645561678745,-1.31452565045023,-0.24069369256022,-0.845142871157914
1,-1.5796472386588,-0.0921823744475333,-1.89013416697346,-0.473077592569234,-0.290652201913122,-1.21818086033535,-0.237294068156903,-1.29242667448084,-0.396470609627873,-0.607463012679796
0,-0.885794521913993,-0.830324167489645,-1.00310919435545,-3.59174932793089,-0.736771485405329,-0.677021584561696,-2.83197251125971,-0.490320113322513,-0.251060926283153,-2.04960598239357
1,-0.14896499585693,-0.793818417439712,-0.141204683029948,-0.769641140128577,-0.014454036577468,-0.250423222558389,-0.486365566856413,-0.958853073512474,-3.38393140458098,-1.32399872806877
1,-1.33115998548891,-2.6142573396084,-0.25097826685486,-0.0197822708063383,-2.13477802170929,-0.714174045490968,-0.723440335802388,-0.247204286543293,-3.76086928928012,-0.592102137235314
1,-1.43198142174782,-0.581341204562335,-0.737545891608588,-0.159405772874826,-0.794371399135909,-1.03347272796061,-0.785090416889024,-0.178633039154972,-1.51448319543903,-1.15998868794566
0,-4.63711410996527,-1.17952684674465,-1.24578445532718,-2.34507281553821,-1.11534124119462,-1.32349883340966,-1.20945849055699,-1.03105008376143,-0.338995986322825,-3.16124070526566
0,-0.401430127984343,-1.7200512207622,-0.175838109169093,-0.71263836647744,-0.393925561328132,-0.709646377013361,-1.51074626264158,-0.195169580469782,-0.958447937954831,-1.42123399525555
1,-0.774789343543867,-0.216405694541987,-0.752775820701463,-0.101741966983222,-0.841020855094638,-0.163641903919672,-0.281589928112955,-0.0702539333827118,-1.51832421477523,-0.430761456760792
0,-3.99857498472677,-0.341071352908818,-2.20199708866677,-4.44525889807893,-0.478339783837044,-0.532312392077363,-2.88766953990547,-1.10005003127357,-1.24201899585789,-0.915411862976848
1,-1.00984323305834,-1.03855646043133,-0.280839012678744,-2.699762666595,-1.36127588598594,-1.09166390862386,-0.208757610079622,-0.748131372730388,-1.03633406656639,-0.878468007845366
1,-0.69223361988813,-0.223637519303533,-0.362305099744972,-0.447159694715263,-1.59096509955558,-0.402462920122509,-0.109623352098815,-3.1029790167291,-1.03448611652196,-0.240470501195133
1,-0.567549163246762,-0.535347610332948,-1.12633110782562,-0.472850471239168,-0.753262481094798,-1.12517866232894,-1.36829841955814,-0.209326215031461,-0.759900089808948,-0.471107353286081
0,-1.95269229473637,-2.72691195851508,-0.319902310195323,-0.203226520304054,-4.03009150353115,-0.214398986507446,-1.77606350739424,-0.70642220375595,-0.536578012486598,-0.303125271850055
1,-1.98275073892257,-0.355244618687834,-1.3075472996353,-0.0367306655176557,-0.161636168238282,-2.03174425217707,-1.74860403844844,-1.08945340934085,-0.119470313150915,-0.157838732782933
1,-0.240521535492574,-0.961411217518852,-0.377719428317039,-0.12948634031415,-3.33391743011533,-1.48773468470898,-1.1225517471646,-0.322561118578116,-0.862493791747545,-0.734465259497676
1,-0.662566998374415,-3.06441543805704,-0.39392153039618,-0.20852425638889,-0.0504293107884065,-1.29557272206377,-0.37577436429517,-1.4583267756004,-2.67057104546766,-0.695384626259788
0,-1.46764156290169,-0.671754811012479,-0.437972298471375,-1.07203220260259,-1.11629499624985,-0.221560391740217,-1.41611598467662,-1.58494443934723,-2.17021434668661,-0.432883925311358
1,-0.0150572466648182,-0.990755552345431,-0.370898883580116,-0.334911611285997,-2.47340637997056,-0.522372868111692,-0.00450348284465626,-0.94819171711873,-0.920106415325166,-0.29409990307214
1,-0.0760502647844896,-0.175116745309676,-1.70049367676512,-1.01325846744634,-0.554165165831442,-1.09917868041712,-0.22269146444076,-0.092681019748414,-1.78234260985137,-0.255486414696446
0,-1.29637429469151,-0.107915029229628,-2.53854551832819,-0.40925180826158,-1.10509506073633,-0.555907272650372,-2.73550798466286,-0.702624275471338,-0.358364180780299,-0.647333792841611
0,-0.280081589727349,-0.98578472604934,-0.458602617601249,-1.82618712683919,-1.65128019587716,-0.0505148879464658,-0.00755185663688387,-0.164075308543122,-0.60843869902595,-0.0197972357920333
